date,remittance,exchange_rate,oil_price,dofe_departures
3/1/2023,106118.2861,131.4,76.47333333,61845
4/1/2023,111192.386,131.33,82.46,61478
5/1/2023,101788.5335,131.47,74.12333333,54457
6/1/2023,107342.298,131.36,73.26333333,59422
7/1/2023,108033.3817,131.47,78.98333333,55299
8/1/2023,116019.1238,132.73,84.72433333,55575
9/1/2023,112382.9455,133.1,92.22,50884
10/1/2023,136967.9409,133.25,89.08366667,56235
11/1/2023,112625.3188,133.04,81.35433333,43622
12/1/2023,135289.0018,132.81,75.71933333,71276
1/1/2024,119971.0486,133.042069,80.227,65813
2/1/2024,105775.3237,132.8775862,83.764,62147
3/1/2024,122222.0886,132.6643333,85.447,65658
4/1/2024,121393.3012,133.184,90.054,70933
5/1/2024,115987.6277,133.5119355,81.995,70637
6/1/2024,128905.0974,133.3921875,82.555,72861
7/1/2024,117776.2723,133.6070968,85.296,58736
8/1/2024,136930,134.0534375,80.863,59575
9/1/2024,126000,134.2774194,74.293,57493
10/1/2024,144380,134.13,75.662,53525
11/1/2024,114320,134.6696667,74.395,70990
12/1/2024,118800,135.314,73.833,84226
1/1/2025,123150,136.7234483,79.206,67258
2/1/2025,137000,138.793,75.157,72441
3/1/2025,150730,139.2462069,72.574,68963
4/1/2025,140000,137.6329032,67.745,73403
5/1/2025,165300,136.3383871,64.206,78050
6/1/2025,176320,136.8658065,71.45,74467
7/1/2025,190340,137.45125,70.951,78875
8/1/2025,177410,139.2780645,68.203,68110
9/1/2025,174670,140.6429032,67.951,67972
10/1/2025,201230,141.6651613,64.651,64634
11/1/2025,133800,141.3922581,63.609,73094
