date,remittance,exchange_rate,oil_price,dofe_departures,dofe_lag3,dofe_lag6,dofe_lag9,covid_shock
2018-03-01,70506.39791300014,103.83,64.16666666667,53219.0,52792.0,51076.0,58710.0,0
2018-04-01,68521.48307785945,104.42,68.79333333333,60205.0,53121.0,49133.0,40484.0,0
2018-05-01,66303.09024187911,107.73,73.43,56493.0,52452.0,60573.0,46382.0,0
2018-06-01,73051.01493303571,108.24,71.97666666667,50796.0,53219.0,52792.0,51076.0,0
2018-07-01,75327.56425220217,109.64,72.66666666667,34383.0,60205.0,53121.0,49133.0,0
2018-08-01,73954.19424340883,111.84,71.08333333333,36899.0,56493.0,52452.0,60573.0,0
2018-09-01,80247.67993083815,114.96,75.36333333333,31987.0,50796.0,53219.0,52792.0,0
2018-10-01,87969.7967145411,117.54,76.72666666667,42879.0,34383.0,60205.0,53121.0,0
2018-11-01,70087.21482891077,115.18,62.31666666667,37804.0,36899.0,56493.0,52452.0,0
2018-12-01,64323.50796839979,115.04,53.96,49197.0,31987.0,50796.0,53219.0,0
2019-01-01,66773.33292038436,112.78,56.58333333333,50767.0,42879.0,34383.0,60205.0,0
2019-02-01,72199.73136235587,113.88,61.13333333333,41861.0,37804.0,36899.0,56493.0,0
2019-03-01,66636.71923321532,111.26,63.78666666667,45107.0,49197.0,31987.0,50796.0,0
2019-04-01,70996.63973146654,110.65,68.57666666667,45989.0,50767.0,42879.0,34383.0,0
2019-05-01,72201.08276862174,112.86,66.83333333333,49460.0,41861.0,37804.0,36899.0,0
2019-06-01,73722.38489999995,111.69,59.76,44395.0,45107.0,49197.0,31987.0,0
2019-07-01,80254.86489452096,109.66,61.47666666667,40141.0,45989.0,50767.0,42879.0,0
2019-08-01,75401.47187661966,113.85,57.67,32577.0,49460.0,41861.0,37804.0,0
2019-09-01,77949.93589584607,114.56,60.04,39388.0,44395.0,45107.0,49197.0,0
2019-10-01,76510.54872091138,114.3,57.27333333333,37106.0,40141.0,45989.0,50767.0,0
2019-11-01,73798.2487917156,114.86,60.40333333333,51499.0,32577.0,49460.0,41861.0,0
2019-12-01,72019.68632418942,113.3,63.35333333333,57297.0,39388.0,44395.0,45107.0,0
2020-01-01,70273.51505481382,113.38,61.62666666667,53006.0,37106.0,40141.0,45989.0,0
2020-02-01,65986.03995155531,114.06,53.34666666667,48970.0,51499.0,32577.0,49460.0,0
2020-03-01,79252.83967093157,118.74,32.20333333333,49588.0,57297.0,39388.0,44395.0,0
2020-04-01,34516.80846265773,122.06,21.04333333333,0.0,53006.0,37106.0,40141.0,0
2020-05-01,53971.84456335881,120.81,30.38,0.0,48970.0,51499.0,32577.0,0
2020-06-01,93977.5641732954,121.35,39.45666666667,0.0,49588.0,57297.0,39388.0,0
2020-07-01,101368.45329110032,120.67,42.06666666667,2494.0,0.0,53006.0,37106.0,1
2020-08-01,92742.76005228114,119.85,43.44333333333,3152.0,0.0,48970.0,51499.0,1
2020-09-01,73027.70617194538,117.84,40.59666666667,1525.0,0.0,49588.0,57297.0,1
2020-10-01,93170.5292279606,117.42,39.9,8097.0,2494.0,0.0,53006.0,1
2020-11-01,78877.00641248099,119.37,42.30333333333,7797.0,3152.0,0.0,48970.0,1
2020-12-01,79143.62113537057,117.83,48.72666666667,10591.0,1525.0,0.0,49588.0,1
2021-01-01,78509.78765838116,117.22,53.60333333333,12431.0,8097.0,2494.0,0.0,1
2021-02-01,72418.96379158576,116.57,60.46333333333,14753.0,7797.0,3152.0,0.0,1
2021-03-01,74442.00780322752,116.46,63.83,17887.0,10591.0,1525.0,0.0,1
2021-04-01,86886.86898567528,120.1,62.95,19808.0,12431.0,8097.0,2494.0,0
2021-05-01,81038.30328034284,117.48,66.4,32142.0,14753.0,7797.0,3152.0,0
2021-06-01,61044.97225593508,116.92,71.80333333333,24363.0,17887.0,10591.0,1525.0,0
2021-07-01,89752.05049859162,119.34,73.28333333333,4086.0,19808.0,12431.0,8097.0,0
2021-08-01,76625.35229512485,118.8,68.86666666667,25428.0,32142.0,14753.0,7797.0,0
2021-09-01,79530.94866879965,117.59,72.8,36040.0,24363.0,17887.0,10591.0,0
2021-10-01,84484.8254918312,120.42,82.06333333333,39671.0,4086.0,19808.0,12431.0,0
2021-11-01,73370.4486709164,119.18,79.91666666667,54966.0,25428.0,32142.0,14753.0,0
2021-12-01,76498.53250049119,121.39,72.86666666667,74557.0,36040.0,24363.0,17887.0,0
2022-01-01,80209.47018991783,118.22,83.92,67063.0,39671.0,4086.0,19808.0,0
2022-02-01,72136.74704887578,120.62,93.54333333333,54702.0,54966.0,25428.0,32142.0,0
2022-03-01,91069.93655452086,122.55,112.39666666667,53735.0,74557.0,36040.0,24363.0,0
2022-04-01,93553.0524425148,121.82,103.41333333333,56498.0,67063.0,39671.0,4086.0,0
2022-05-01,87050.76068795624,123.93,110.09666666667,46104.0,54702.0,54966.0,25428.0,0
2022-06-01,92387.1972215909,124.86,116.8,63694.0,53735.0,74557.0,36040.0,0
2022-07-01,100389.60241101962,127.81,105.08333333333,64655.0,56498.0,67063.0,39671.0,0
2022-08-01,94498.75590496678,127.46,95.97333333333,64930.0,46104.0,54702.0,54966.0,0
2022-09-01,97857.80242871006,127.52,88.22,78157.0,63694.0,53735.0,74557.0,0
