date,remittance,exchange_rate,oil_price,dofe_departures
2000-08-01,2445.9,72.55000000000001,29.2629,
2000-09-01,2849.899999999999,72.55000000000001,32.08283333333,
2000-10-01,6156.6,73.25,31.40016666667,
2000-11-01,3918.300000000001,74.05000000000001,32.331,
2000-12-01,3859.7000000000007,74.30000000000001,25.20466666667,
2001-01-01,3923.7999999999956,74.30000000000001,25.95727272727,
2001-02-01,4006.0000000000036,74.0,27.23883333333,
2001-03-01,4060.5999999999985,74.0,25.02257575758,
2001-04-01,4206.899999999998,74.5,25.718,
2001-05-01,3811.2000000000044,74.75,27.54682539683,
2001-06-01,2383.4000000000015,74.75,26.96603174603,
2001-07-01,5593.800000000003,75.025,24.80367965368,
2001-08-01,2954.1,75.025,25.82115942029,
2001-09-01,3456.4,75.725,25.20766666667,
2001-10-01,6741.299999999999,76.475,20.73188405797,
2001-11-01,4042.7000000000007,76.475,18.68818181818,
2001-12-01,4049.0,76.475,18.51978947368,
2002-01-01,3918.5999999999985,76.675,19.15481240981,
2002-02-01,3671.5,77.425,19.97523684211,
2002-03-01,3817.0,77.675,23.64066666667,
2002-04-01,4017.800000000003,77.85,25.43424242424,
2002-05-01,4194.699999999997,77.94999999999999,25.67234519104,
2002-06-01,2858.800000000003,78.3,24.48805750487,
2002-07-01,3814.4000000000015,78.3,25.75474810214,
2002-08-01,2361.1,78.3,26.7758008658,
2002-09-01,4594.9,78.295,28.28079365079,
2002-10-01,8872.0,78.295,27.5268115942,
2002-11-01,5207.0999999999985,78.295,24.54248120301,
2002-12-01,3706.2999999999993,78.295,27.88698412698,
2003-01-01,3923.9000000000015,78.05000000000001,30.75031746032,
2003-02-01,5222.200000000001,78.045,32.88337719298,
2003-03-01,5042.5999999999985,78.045,30.35920634921,
2003-04-01,4640.0999999999985,77.565,25.55596825397,
2003-05-01,4148.0,77.30000000000001,26.06491269841,
2003-06-01,2564.0000000000073,76.385,27.91714285714,
2003-07-01,3921.0999999999985,75.045,28.59158761528,
2003-08-01,5562.1,74.78999999999999,29.67555555556,
2003-09-01,6416.5,74.315,26.88233044733,
2003-10-01,5269.4,73.78999999999999,29.01449275362,
2003-11-01,5185.0,73.78999999999999,29.12274074074,
2003-12-01,4330.9000000000015,74.03999999999999,29.96920634921,
2004-01-01,4280.5999999999985,74.03999999999999,31.36771929825,
2004-02-01,4291.9000000000015,73.54499999999999,31.33133333333,
